id;estado;tipo;saldodisponible;ubicacion
1;Account;Estonia Gris;28367;THX Adelante
2;e-commerce SQL Brasil;digital frictionless concepto;38501;Artesanal
3;24/365;Loan Armenia;52568;Entrada
4;world-class;backing multitarea Somalia;79715;Plástico hack
5;Islandia Saudí Investment;invoice CFA Account;6614;Investment IB Chalet
6;Violeta;scale Asociado;65466;Valenciana
7;Sabroso;Account JSON estatica;35213;Plástico emulación
8;multi-byte;deposit Quetzal;85080;visionary
9;Central;withdrawal;93801;Azul
10;Marroquinería paradigms Berkshire;Fantástico Hormigon navigate;2648;digital Soluciones quantify
