id;contiene;estado;cantidad;fecha
1;wireless Gran Coche;Madera COM Morado;43150;2023-10-04T02:05:50
2;hibrida Account;Técnico Increible;10772;2023-10-04T20:21:41
3;portal;Dalasi Cine Belize;28070;2023-10-04T09:24:15
4;Queso Auto Blanco;syndicate;1796;2023-10-04T14:08:23
5;Relacciones Travesía;Credit connecting Ensalada;99097;2023-10-04T02:40:21
6;maximizada;card Auto;43940;2023-10-04T20:14:18
7;Jefe SMTP;soporte Gorro unleash;38979;2023-10-04T21:21:35
8;Muelle;Valenciana cross-platform services;62649;2023-10-04T21:20:00
9;synthesize Heredado;quantifying Genérico Investment;37110;2023-10-04T07:28:21
10;Granito;de arquitectura Auto;41047;2023-10-05T01:20:50
